employee_id,date,attendance_status,hours_worked,tasks_completed,performance_rating
EMP4228,2023-08-16,On Leave,4.26,9.0,3.0
EMP6553,2023-03-01,Present,6.71,9.0,2.6
EMP7615,2023-03-30,On Leave,11.1,3.0,3.4
EMP3170,2024-04-06,Late,7.56,13.0,1.1
EMP1525,2023-11-23,Absent,6.93,10.0,2.2
EMP4510,2023-05-13,On Leave,7.37,13.0,2.7
EMP9727,2024-04-04,Present,7.38,2.0,2.0
EMP5558,2024-03-04,Work From Home,11.59,15.0,4.5
EMP1006,2023-01-18,Work From Home,6.35,8.0,4.9
EMP7930,2024-11-08,Absent,8.62,4.0,2.2
EMP2530,2023-10-06,Work From Home,6.29,8.0,3.5
EMP5119,2024-09-24,Absent,1.57,12.0,1.6
EMP6862,2024-05-22,Present,6.095000000000001,9.0,3.0
EMP1090,2024-09-11,Present,5.71,4.0,2.8
EMP9727,2023-10-17,Late,11.77,6.0,1.9
EMP2588,2023-01-16,Absent,11.63,7.0,2.6
EMP4475,2024-06-24,Work From Home,8.45,2.0,1.4
EMP9179,2024-09-18,Absent,6.095000000000001,1.0,3.1
EMP5573,2023-08-26,Absent,6.42,1.0,2.7
EMP5135,2024-06-22,On Leave,4.52,5.0,4.6
EMP6947,2024-12-11,On Leave,1.7,12.0,3.4
EMP1090,2024-08-02,Work From Home,11.73,3.0,4.7
EMP9004,2024-04-01,On Leave,10.77,15.0,2.0
EMP9004,2024-07-03,Work From Home,1.8,10.0,2.8
EMP9666,2024-03-15,Work From Home,3.66,1.0,4.8
EMP3950,2024-12-02,Late,4.57,4.0,2.2
EMP3170,2023-07-05,Work From Home,8.05,1.0,2.8
EMP8019,2023-03-04,Present,6.095000000000001,1.0,3.3
EMP9022,2024-08-10,Present,8.03,4.0,4.1
EMP9004,2024-11-28,On Leave,6.095000000000001,11.0,3.4
EMP1166,2024-03-15,Work From Home,10.14,0.0,4.7
EMP3296,2024-09-21,Present,11.98,8.0,1.3
EMP8019,2024-05-30,Work From Home,2.66,1.0,2.2
EMP5135,2023-07-14,Work From Home,9.16,15.0,3.0
EMP2193,2023-01-07,On Leave,3.13,7.0,4.0
EMP8019,2024-07-13,Work From Home,9.13,7.0,1.0
EMP6000,2023-04-15,Work From Home,7.39,7.0,2.6
EMP3503,2023-06-21,Absent,7.27,3.0,4.9
EMP1006,2023-07-23,Work From Home,7.23,12.0,1.2
EMP6553,2024-05-29,Work From Home,4.49,12.0,2.5
EMP5915,2024-08-26,Late,6.06,3.0,3.8
EMP3184,2023-09-24,On Leave,4.55,6.0,2.3
EMP4978,2023-10-21,On Leave,4.91,4.0,2.5
EMP2796,2024-08-12,Late,10.16,12.0,4.7
EMP3546,2024-06-14,Late,4.64,3.0,4.1
EMP1166,2023-03-29,On Leave,2.9,13.0,3.2
EMP9494,2023-06-08,Work From Home,0.93,3.0,4.1
EMP5915,2024-07-13,On Leave,4.06,5.0,4.9
EMP5573,2024-02-14,Present,8.15,10.0,1.5
